オッズパーク いちいちIDとかを入れないと入れない前のアプリの方が使い勝手が良かった。
残額不足になって足止めくらう
早く改善してほしい"
特急券買えなくなって改悪 新幹線eチケットってモバイルSuicaやってた人からしたら不要なサービスでは？特急券買えなくなって使いにくさUPしました。
オンラインで学割定期を購入できない "モバイルSuicaで学割の定期を利用するためには、申込用紙を印刷して手書きで記入し郵送し2週間待たなければいけない。
モバイルSuicaを使いたいのにこれでは手間が多すぎてとてもやる気になれません。
今は普段の買い物用にモバイルSuica、通学用に普通のSuicaを併用しています。
オンランインで学割定期を購入できるようにして欲しいです。"
使いづらい チャージボタン押してから実際にチャージされる時間が長い。レジに並んでるときにチャージする時もあるから、もっと素早くチャージしてほしい。また、app内のチャージで使用できるクレカと出来ないクレカがあってこれも面倒です。改善してほしい。しかし、スマホ一つで買い物や食事などができると言うのは魅力的だとは思います。
チャージ残高が正しくない いつからか、チャージ残高が正しく表示されない。iosが悪いならそれなりの修正してください。
突然アプリが開かなくなりました。 アプリが開けなくなって大変困ってます。使い勝手よく使用してましたが、開かず使えないのでは意味もなく…色々方法試しましたが一度削除する方が良いのでしょうか？
